1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
161000000,463000000,518000000,579000000,592000000,598000000,1019000000,915000000,964000000,1296000000,1353000000,1424000000,1641000000,3394000000,4418000000,4633000000,4675000000,5126000000,6931000000,7917000000,8221000000,7939000000,8479000000,7452000000,6996000000,7436000000,7258000000,7599000000,8102000000,7904000000,8763000000,9121000000,10401000000,9086000000,10038000000,8052000000,7949000000,8616000000,8829000000,10478000000,11541000000,14000000000
16155000000,15382000000,17335000000,19119000000,20379000000,20905000000,24098000000,28647000000,31835000000,40590000000,45442000000,49706000000,54248000000,59693000000,63035000000,65987000000,1.28193E+11,1.56082E+11,1.25401E+11,1.3882E+11,1.43978E+11,1.51589E+11,1.57545E+11,1.62049E+11,1.71747E+11,1.80289E+11,1.96281E+11,2.17154E+11,2.24546E+11,2.53358E+11,2.77965E+11,3.16285E+11,3.56345E+11,4.02562E+11,4.64702E+11,5.40835E+11,6.28854E+11,7.6102E+11,9.07846E+11,1.06287E+12,1.263E+12,1.42667E+12
